"country","constituency","valid_votes","electorate","turnout_registered"
"England","Exmouth and Exeter East",51316,79983,64.1586337096633
"England","Fareham and Waterlooville",50123,76947,65.1396415714713
"England","Farnham and Bordon",53015,75920,69.8300842992624
"England","Faversham and Mid Kent",46594,74301,62.7097885627381
"England","Feltham and Heston",38887,76982,50.5144059650308
"England","Filton and Bradley Stoke",50367,77582,64.9209868268413
"England","Finchley and Golders Green",49289,77500,63.5987096774194
"England","Folkestone and Hythe",43246,70056,61.7306155075939
"England","Forest of Dean",48091,72857,66.0073843282046
"England","Frome and East Somerset",46716,71593,65.2521894598634
"England","Fylde",47960,77100,62.2049286640726
